igr,municipio,situacao,fonte_referencia,observacao_igr
Alto Uruguai Catarinense,Alto Bela Vista,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Concórdia,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Ipira,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Irani,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Itá ,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Jaborá ,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Peritiba,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Piratuba,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Presidente Castello Branco,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Seara,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Alto Uruguai Catarinense,Xavantina,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Araranguá,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Balneário Arroio do Silva,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Balneário Gaivota,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Ermo,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Jacinto Machado,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Canyons,Maracajá,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Meleiro,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Morro Grande,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Passo de Torres,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Praia Grande,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Santa Rosa do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,São João do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Sombrio,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Timbé do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Cânions,Turvo,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Araquari,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Balneário Barra do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Campo Alegre,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Garuva,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Itapoá ,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Joinville,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,Rio Negrinho,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,São Bento do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminho dos Príncipes,São Francisco do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Anchieta,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Bandeirante,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Barra Bonita,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Belmonte,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Descanso,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Dionísio Cerqueira,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Guaraciaba,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Guarujá do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Iporã do Oeste,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Itapiranga,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Mondaí,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Palma Sola,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Paraíso,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Princesa,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Santa Helena,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,São João do Oeste,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,São José do Cedro,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,São Miguel do Oeste,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos da Fronteira,Tunápolis,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Agrolândia,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Agronômica,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Atalanta,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Aurora,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Braço do Trombudo,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Chapadão do Lageado,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Dona Emma,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Ibirama,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Imbuia,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Ituporanga,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,José Boiteux,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Laurentino,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Leoberto Leal,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Lontras,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Mirim Doce,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Petrolândia,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Pouso Redondo,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Presidente Getúlio,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Presidente Nereu,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Rio do Campo,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Rio do Oeste,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Rio do Sul,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Salete,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Santa Terezinha,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Taió,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Trombudo Central,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Vidal Ramos,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Vitor Meireles,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Alto Vale,Witmarsum,IGR/região turística,Lista fornecida pelo usuário,Lista fornecida pelo usuário e preservada conforme solicitado.
Caminhos do Contestado,Bela Vista do Toldo,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Caçador,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Calmon,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Canoinhas,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Irineópolis,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Itaiópolis,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Mafra,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Major Vieira,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Matos Costa,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Monte Castelo,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Papanduva,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Porto União,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Caminhos do Contestado,Timbó Grande,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
